s_pc,x_pc,y_pc,z_pc
2929.285,312.878,1441.882,15.533
2932.928,313.756,1444.409,18.007
2936.066,314.633,1446.937,19.646
2938.832,315.511,1449.467,20.338
2941.53,316.388,1451.998,20.015
2944.536,317.266,1454.53,18.654
2948.109,318.143,1457.063,16.291
2952.341,319.021,1459.598,13.018
2957.187,319.898,1462.134,8.983
2962.506,320.776,1464.671,4.391
