s_pc,x_pc,y_pc,z_pc
544.734,-636.584,-557.656,-165.197
546.236,-635.706,-556.486,-165.537
547.738,-634.829,-555.314,-165.873
549.24,-633.951,-554.142,-166.208
550.742,-633.074,-552.968,-166.54
552.246,-632.196,-551.793,-166.87
553.75,-631.319,-550.616,-167.197
555.254,-630.441,-549.439,-167.522
556.758,-629.564,-548.26,-167.845
558.264,-628.686,-547.079,-168.165
559.769,-627.809,-545.898,-168.482
561.276,-626.931,-544.715,-168.798
562.782,-626.054,-543.531,-169.11
564.289,-625.176,-542.346,-169.421
565.796,-624.299,-541.16,-169.728
567.304,-623.421,-539.972,-170.033
568.812,-622.544,-538.783,-170.336
570.321,-621.666,-537.593,-170.636
571.831,-620.789,-536.401,-170.933
573.34,-619.911,-535.209,-171.228
574.85,-619.034,-534.015,-171.52
576.362,-618.156,-532.819,-171.81
577.873,-617.278,-531.623,-172.097
579.385,-616.401,-530.425,-172.381
580.897,-615.523,-529.226,-172.663
582.409,-614.646,-528.026,-172.941
583.923,-613.768,-526.824,-173.218
585.436,-612.891,-525.622,-173.491
586.951,-612.013,-524.418,-173.762
588.466,-611.136,-523.212,-174.03
589.981,-610.258,-522.006,-174.295
591.497,-609.381,-520.798,-174.557
593.013,-608.503,-519.589,-174.817
594.529,-607.626,-518.379,-175.073
596.047,-606.748,-517.167,-175.327
597.564,-605.871,-515.955,-175.578
599.084,-604.993,-514.74,-175.826
600.602,-604.116,-513.525,-176.072
602.121,-603.238,-512.309,-176.314
603.641,-602.361,-511.091,-176.554
605.162,-601.483,-509.872,-176.79
606.684,-600.606,-508.651,-177.024
608.205,-599.728,-507.43,-177.254
609.727,-598.851,-506.207,-177.482
611.25,-597.973,-504.983,-177.707
612.773,-597.096,-503.758,-177.929
614.297,-596.218,-502.531,-178.147
615.822,-595.341,-501.303,-178.363
617.347,-594.463,-500.074,-178.576
618.872,-593.586,-498.844,-178.785
620.399,-592.708,-497.612,-178.992
621.926,-591.831,-496.379,-179.195
623.453,-590.953,-495.145,-179.396
624.981,-590.076,-493.91,-179.593
626.51,-589.198,-492.673,-179.787
628.039,-588.321,-491.435,-179.979
629.57,-587.443,-490.196,-180.167
631.1,-586.566,-488.956,-180.351
632.631,-585.688,-487.714,-180.533
634.163,-584.811,-486.471,-180.711
635.696,-583.933,-485.227,-180.887
637.228,-583.056,-483.982,-181.059
638.763,-582.178,-482.735,-181.228
640.297,-581.301,-481.487,-181.393
641.832,-580.423,-480.238,-181.556
643.368,-579.546,-478.988,-181.715
644.905,-578.668,-477.736,-181.871
646.442,-577.791,-476.483,-182.024
647.98,-576.913,-475.229,-182.173
649.518,-576.036,-473.974,-182.319
651.058,-575.158,-472.717,-182.462
652.598,-574.281,-471.459,-182.601
654.139,-573.403,-470.2,-182.738
655.68,-572.526,-468.939,-182.87
657.222,-571.648,-467.678,-183.0
658.765,-570.771,-466.415,-183.126
660.31,-569.893,-465.15,-183.249
661.854,-569.016,-463.885,-183.368
663.4,-568.138,-462.618,-183.484
664.945,-567.261,-461.35,-183.597
666.492,-566.383,-460.081,-183.706
668.039,-565.506,-458.811,-183.812
669.588,-564.628,-457.539,-183.915
671.137,-563.751,-456.266,-184.014
672.688,-562.873,-454.992,-184.109
674.239,-561.996,-453.716,-184.201
675.791,-561.118,-452.439,-184.29
677.343,-560.241,-451.161,-184.375
678.897,-559.363,-449.882,-184.457
680.45,-558.486,-448.602,-184.535
682.006,-557.608,-447.32,-184.61
683.562,-556.731,-446.037,-184.681
685.119,-555.853,-444.753,-184.749
686.677,-554.976,-443.467,-184.814
688.236,-554.098,-442.18,-184.874
689.795,-553.221,-440.892,-184.932
691.356,-552.343,-439.603,-184.985
692.917,-551.466,-438.312,-185.036
694.479,-550.588,-437.021,-185.082
696.042,-549.711,-435.728,-185.125
697.607,-548.833,-434.433,-185.165
699.171,-547.956,-433.138,-185.201
700.738,-547.078,-431.841,-185.233
702.305,-546.2,-430.543,-185.262
703.873,-545.323,-429.244,-185.287
705.443,-544.445,-427.943,-185.309
707.013,-543.568,-426.641,-185.327
708.584,-542.69,-425.338,-185.341
710.155,-541.813,-424.034,-185.352
711.729,-540.935,-422.728,-185.359
713.303,-540.058,-421.421,-185.363
714.878,-539.18,-420.113,-185.363
716.454,-538.303,-418.804,-185.359
718.032,-537.425,-417.493,-185.352
719.61,-536.548,-416.181,-185.341
721.19,-535.67,-414.868,-185.326
722.769,-534.793,-413.554,-185.308
724.352,-533.915,-412.238,-185.286
725.934,-533.038,-410.921,-185.261
727.518,-532.16,-409.603,-185.232
729.102,-531.283,-408.284,-185.199
730.689,-530.405,-406.963,-185.162
732.276,-529.528,-405.641,-185.122
733.864,-528.65,-404.318,-185.078
735.453,-527.773,-402.994,-185.031
737.044,-526.895,-401.668,-184.979
738.636,-526.018,-400.341,-184.924
740.229,-525.14,-399.013,-184.866
741.822,-524.263,-397.684,-184.804
743.418,-523.385,-396.353,-184.738
745.015,-522.508,-395.021,-184.668
746.612,-521.63,-393.688,-184.595
748.212,-520.753,-392.353,-184.517
749.812,-519.875,-391.018,-184.437
751.413,-518.998,-389.681,-184.352
753.016,-518.12,-388.343,-184.264
754.62,-517.243,-387.003,-184.172
756.225,-516.365,-385.662,-184.077
757.832,-515.488,-384.32,-183.977
759.439,-514.61,-382.977,-183.874
761.048,-513.733,-381.633,-183.767
762.659,-512.855,-380.287,-183.657
764.27,-511.978,-378.94,-183.543
765.883,-511.1,-377.592,-183.425
767.498,-510.223,-376.242,-183.303
769.113,-509.345,-374.892,-183.178
770.729,-508.468,-373.54,-183.049
772.349,-507.59,-372.186,-182.916
773.968,-506.713,-370.832,-182.78
775.589,-505.835,-369.476,-182.64
777.211,-504.958,-368.119,-182.496
778.835,-504.08,-366.761,-182.348
780.46,-503.203,-365.401,-182.197
782.087,-502.325,-364.04,-182.042
783.715,-501.448,-362.678,-181.883
785.345,-500.57,-361.315,-181.721
786.975,-499.693,-359.951,-181.554
788.607,-498.815,-358.585,-181.384
790.241,-497.938,-357.218,-181.211
791.877,-497.06,-355.849,-181.034
793.513,-496.183,-354.48,-180.853
795.151,-495.305,-353.109,-180.668
796.79,-494.428,-351.737,-180.479
798.431,-493.55,-350.364,-180.287
800.074,-492.673,-348.989,-180.091
801.718,-491.795,-347.613,-179.892
803.363,-490.918,-346.236,-179.689
805.01,-490.04,-344.858,-179.482
806.659,-489.163,-343.478,-179.271
808.309,-488.285,-342.098,-179.057
809.961,-487.408,-340.715,-178.839
811.614,-486.53,-339.332,-178.617
813.269,-485.653,-337.947,-178.392
814.924,-484.775,-336.562,-178.163
816.582,-483.898,-335.175,-177.93
818.242,-483.02,-333.786,-177.694
819.902,-482.143,-332.397,-177.454
821.565,-481.265,-331.006,-177.21
823.229,-480.388,-329.614,-176.963
824.895,-479.51,-328.22,-176.712
826.562,-478.633,-326.826,-176.457
828.231,-477.755,-325.43,-176.199
829.902,-476.878,-324.032,-175.937
831.574,-476.0,-322.634,-175.672
833.248,-475.122,-321.234,-175.402
834.922,-474.245,-319.834,-175.13
836.601,-473.367,-318.431,-174.853
838.279,-472.49,-317.028,-174.573
839.96,-471.612,-315.623,-174.289
841.641,-470.735,-314.217,-174.002
843.325,-469.857,-312.81,-173.711
845.01,-468.98,-311.402,-173.417
846.697,-468.102,-309.992,-173.119
848.386,-467.225,-308.581,-172.817
850.076,-466.347,-307.169,-172.512
851.769,-465.47,-305.755,-172.203
853.462,-464.592,-304.341,-171.891
855.157,-463.715,-302.925,-171.575
856.855,-462.837,-301.508,-171.255
858.554,-461.96,-300.089,-170.932
860.255,-461.082,-298.669,-170.606
861.957,-460.205,-297.248,-170.276
863.661,-459.327,-295.826,-169.942
865.367,-458.45,-294.403,-169.605
867.075,-457.572,-292.978,-169.264
