x	y	z	vz
-752.414	-701.107	-107.135	-11.637
-751.537	-700.102	-107.624	-11.627
-750.659	-699.096	-108.112	-11.618
-749.782	-698.089	-108.6	-11.608
-748.904	-697.081	-109.089	-11.598
-748.027	-696.071	-109.577	-11.588
-747.149	-695.06	-110.065	-11.578
-746.272	-694.048	-110.553	-11.568
-745.394	-693.035	-111.041	-11.558
-744.517	-692.02	-111.528	-11.547
-743.639	-691.004	-112.016	-11.536
-742.762	-689.987	-112.503	-11.525
-741.884	-688.969	-112.99	-11.514
-741.007	-687.949	-113.477	-11.503
-740.129	-686.928	-113.964	-11.491
-739.252	-685.906	-114.451	-11.48
-738.374	-684.882	-114.937	-11.468
-737.497	-683.858	-115.423	-11.456
-736.619	-682.832	-115.909	-11.444
-735.742	-681.805	-116.394	-11.431
-734.864	-680.776	-116.879	-11.419
-733.987	-679.747	-117.364	-11.406
-733.109	-678.716	-117.849	-11.393
-732.232	-677.683	-118.333	-11.38
-731.354	-676.65	-118.817	-11.367
-730.477	-675.615	-119.3	-11.354
-729.599	-674.579	-119.783	-11.34
-728.722	-673.542	-120.266	-11.327
-727.844	-672.504	-120.748	-11.313
-726.967	-671.464	-121.23	-11.299
-726.089	-670.423	-121.711	-11.285
-725.212	-669.381	-122.192	-11.27
-724.334	-668.337	-122.672	-11.256
-723.457	-667.292	-123.152	-11.241
-722.579	-666.246	-123.631	-11.226
-721.702	-665.199	-124.11	-11.211
-720.824	-664.151	-124.588	-11.196
-719.947	-663.101	-125.066	-11.18
-719.069	-662.05	-125.543	-11.164
-718.192	-660.998	-126.019	-11.149
-717.314	-659.944	-126.495	-11.133
-716.437	-658.889	-126.97	-11.116
-715.559	-657.833	-127.444	-11.1
-714.682	-656.776	-127.918	-11.084
-713.804	-655.718	-128.391	-11.067
-712.927	-654.658	-128.863	-11.05
-712.049	-653.597	-129.335	-11.033
-711.172	-652.535	-129.806	-11.016
-710.294	-651.471	-130.276	-10.998
-709.417	-650.406	-130.745	-10.981
-708.539	-649.34	-131.214	-10.963
-707.662	-648.273	-131.681	-10.945
-706.784	-647.204	-132.148	-10.927
-705.907	-646.134	-132.614	-10.908
-705.029	-645.063	-133.08	-10.89
-704.152	-643.991	-133.544	-10.871
-703.274	-642.917	-134.007	-10.852
-702.397	-641.843	-134.47	-10.833
-701.519	-640.767	-134.931	-10.814
-700.642	-639.689	-135.392	-10.795
-699.764	-638.611	-135.851	-10.775
-698.887	-637.531	-136.31	-10.755
-698.009	-636.45	-136.767	-10.735
-697.132	-635.367	-137.224	-10.715
-696.254	-634.284	-137.679	-10.695
-695.377	-633.199	-138.134	-10.674
-694.499	-632.113	-138.587	-10.654
-693.622	-631.025	-139.04	-10.633
-692.744	-629.937	-139.491	-10.612
-691.867	-628.847	-139.941	-10.59
-690.989	-627.756	-140.389	-10.569
-690.112	-626.663	-140.837	-10.547
-689.234	-625.57	-141.284	-10.525
-688.357	-624.475	-141.729	-10.503
-687.479	-623.379	-142.173	-10.481
